id_plan,convenio,plan,tipo_cobertura,consultas_incluidas,copago_gs,autorizacion_previa,requisitos,exclusiones_principales,observaciones,es_ficticio
CVP-001,SaludPlus,Esencial,Parcial,Clínica médica y pediatría,40000,No,"Documento, carnet vigente y orden cuando corresponda",Especialidades de alta complejidad y procedimientos,Cobertura sujeta a verificación el día del turno,SI
CVP-002,SaludPlus,Integral,Amplia,"Clínica médica, pediatría, ginecología, cardiología y dermatología",20000,Solo cardiología,"Documento, carnet y autorización para cardiología",Procedimientos estéticos y certificados no asistenciales,Incluye una teleconsulta de control por mes,SI
CVP-003,MediRed,Básico,Parcial,Clínica médica y medicina familiar,50000,No,Documento y carnet vigente,"Estudios, procedimientos y especialidades",El copago se abona antes de la consulta,SI
CVP-004,MediRed,Preferencial,Amplia,"Clínica médica, pediatría, neurología, nutrición y traumatología",25000,"Sí, para neurología","Documento, carnet, orden y autorización cuando aplique",Prácticas no incluidas en la consulta,Recepción puede gestionar autorización con 48 horas,SI
CVP-005,Bienestar Mutual,Plan Familiar,Familiar,"Clínica médica, pediatría, ginecología y nutrición",30000,No,"Documento, carnet y constancia de integrante del grupo familiar",Procedimientos y consultas fuera de cartilla,Hasta cuatro integrantes registrados,SI
CVP-006,Bienestar Mutual,Senior,Adulto mayor,"Clínica médica, cardiología y geriatría",15000,"Sí, para cardiología","Documento, carnet, orden y autorización",Estudios cardiológicos y medicamentos,Prioridad administrativa para mayores de 65 años,SI
CVP-007,Protección Médica Nacional,Corporativo A,Corporativa,"Clínica médica, pediatría y medicina laboral",0,No,"Documento, credencial y constancia laboral vigente",Consultas particulares y certificados no laborales,Facturación mensual a la empresa ficticia,SI
CVP-008,Protección Médica Nacional,Corporativo B,Corporativa ampliada,"Clínica médica, pediatría, cardiología, nutrición y psicología",10000,"Sí, para psicología después de la cuarta sesión","Documento, credencial y autorización cuando corresponda","Procedimientos, estudios y medicación",Incluye tres sesiones iniciales de psicología,SI
CVP-009,VidaSegura,Joven,Preventiva,"Clínica médica, nutrición y una consulta anual de orientación preventiva",35000,No,Documento y carnet vigente,"Tratamientos, procedimientos y especialidades no listadas",Disponible para pacientes de 18 a 30 años,SI
CVP-010,VidaSegura,Total,Amplia,Todas las especialidades ambulatorias disponibles en la clínica,10000,"Sí, para neurología y psicología","Documento, carnet, orden y autorización según especialidad","Procedimientos, urgencias y prestaciones externas",La disponibilidad depende de la cartilla vigente,SI
CVP-011,Particular,Sin convenio,Pago directo,Todas las especialidades disponibles,0,No,Documento y pago según arancel informado,No aplica cobertura de convenio,El valor total se informa al reservar,SI
